GeoID,GeoType,TimePeriodID,Value,CI,Note,GeoTypeDesc,Geography,Lat,Long,TimePeriod,Indicator
101,UHF34,49,11.8,"(6.7, 20.0)",,UHF 34,Kingsbridge - Riverdale,40.8926,-73.9012,2020,Adults with asthma: Percent (%)
102,UHF34,49,24.5,"(15.7, 36.1)",* Estimate is based on small numbers so should be interpreted with caution.,UHF 34,Northeast Bronx,40.8806,-73.8448,2020,Adults with asthma: Percent (%)
103,UHF34,49,22.1,"(15.4, 30.8)",,UHF 34,Fordham - Bronx Pk,40.8721,-73.8807,2020,Adults with asthma: Percent (%)
104,UHF34,49,20,"(14.0, 27.9)",,UHF 34,Pelham - Throgs Neck,40.8405,-73.8338,2020,Adults with asthma: Percent (%)
201,UHF34,49,8.5,"(4.3, 16.2)",* Estimate is based on small numbers so should be interpreted with caution.,UHF 34,Greenpoint,40.7202,-73.9497,2020,Adults with asthma: Percent (%)
202,UHF34,49,7.7,"(5.0, 11.6)",,UHF 34,Downtown - Heights - Slope,40.6836,-73.9864,2020,Adults with asthma: Percent (%)
203,UHF34,49,18.1,"(13.0, 24.6)",,UHF 34,Bedford Stuyvesant - Crown Heights,40.6735,-73.9334,2020,Adults with asthma: Percent (%)
204,UHF34,49,21.6,"(14.0, 31.8)",,UHF 34,East New York,40.6721,-73.883,2020,Adults with asthma: Percent (%)
205,UHF34,49,10.1,"(5.2, 18.7)",* Estimate is based on small numbers so should be interpreted with caution.,UHF 34,Sunset Park,40.6477,-74.0091,2020,Adults with asthma: Percent (%)
206,UHF34,49,8.9,"(5.6, 14.0)",,UHF 34,Borough Park,40.6284,-73.9804,2020,Adults with asthma: Percent (%)
207,UHF34,49,10.6,"(6.4, 16.9)",,UHF 34,East Flatbush - Flatbush,40.6464,-73.9484,2020,Adults with asthma: Percent (%)
208,UHF34,49,20.3,"(12.7, 31.0)",,UHF 34,Canarsie - Flatlands,40.6203,-73.9037,2020,Adults with asthma: Percent (%)
209,UHF34,49,8.3,"(4.5, 15.0)",* Estimate is based on small numbers so should be interpreted with caution.,UHF 34,Bensonhurst - Bay Ridge,40.6118,-74.0126,2020,Adults with asthma: Percent (%)
210,UHF34,49,8.7,"(5.6, 13.2)",,UHF 34,Coney Island - Sheepshead Bay,40.5904,-73.9612,2020,Adults with asthma: Percent (%)
211,UHF34,49,11.2,"(6.6, 18.4)",,UHF 34,Williamsburg - Bushwick,40.6986,-73.9316,2020,Adults with asthma: Percent (%)
301,UHF34,49,16.3,"(10.5, 24.5)",,UHF 34,Washington Heights,40.8495,-73.9351,2020,Adults with asthma: Percent (%)
302,UHF34,49,15.9,"(10.3, 23.8)",,UHF 34,Central Harlem - Morningside Heights,40.8132,-73.9484,2020,Adults with asthma: Percent (%)
303,UHF34,49,26,"(16.8, 38.0)",* Estimate is based on small numbers so should be interpreted with caution.,UHF 34,East Harlem,40.794,-73.935,2020,Adults with asthma: Percent (%)
304,UHF34,49,18.2,"(10.9, 28.9)",,UHF 34,Upper West Side,40.7884,-73.9756,2020,Adults with asthma: Percent (%)
401,UHF34,49,14.6,"(9.5, 21.7)",,UHF 34,Long Island City - Astoria,40.7575,-73.9278,2020,Adults with asthma: Percent (%)
402,UHF34,49,8.5,"(5.4, 13.0)",,UHF 34,West Queens,40.7441,-73.8879,2020,Adults with asthma: Percent (%)
403,UHF34,49,7.9,"(3.8, 15.9)",* Estimate is based on small numbers so should be interpreted with caution.,UHF 34,Flushing - Clearview,40.7707,-73.8151,2020,Adults with asthma: Percent (%)
405,UHF34,49,12.3,"(7.5, 19.5)",,UHF 34,Ridgewood - Forest Hills,40.7112,-73.8723,2020,Adults with asthma: Percent (%)
407,UHF34,49,10.3,"(6.6, 15.5)",,UHF 34,Southwest Queens,40.6795,-73.8355,2020,Adults with asthma: Percent (%)
408,UHF34,49,10.2,"(5.3, 18.6)",* Estimate is based on small numbers so should be interpreted with caution.,UHF 34,Jamaica,40.696,-73.7831,2020,Adults with asthma: Percent (%)
409,UHF34,49,16.4,"(9.7, 26.3)",,UHF 34,Southeast Queens,40.7022,-73.7371,2020,Adults with asthma: Percent (%)
410,UHF34,49,24.7,"(11.6, 45.0)",* Estimate is based on small numbers so should be interpreted with caution.,UHF 34,Rockaways,40.59,-73.8228,2020,Adults with asthma: Percent (%)
305307,UHF34,49,12,"(7.7, 18.2)",,UHF 34,Upper East Side-Gramercy,40.7609,-73.9648,2020,Adults with asthma: Percent (%)
306308,UHF34,49,12.5,"(7.9, 19.2)",,UHF 34,Chelsea-Village  ,40.7448,-73.9972,2020,Adults with asthma: Percent (%)
309310,UHF34,49,15.3,"(10.5, 21.8)",,UHF 34,Union Square-Lower Manhattan,40.7164,-73.9948,2020,Adults with asthma: Percent (%)
404406,UHF34,49,11.1,"(6.9, 17.2)",,UHF 34,Bayside Little Neck-Fresh Meadows,40.7471,-73.7763,2020,Adults with asthma: Percent (%)
501502,UHF34,49,13.8,"(7.5, 24.0)",,UHF 34,Northern SI,40.6178,-74.1076,2020,Adults with asthma: Percent (%)
503504,UHF34,49,13.1,"(8.7, 19.3)",,UHF 34,Southern SI,40.5652,-74.1727,2020,Adults with asthma: Percent (%)
105106107,UHF34,49,20.6,"(15.9, 26.2)",,UHF 34,South Bronx,40.8274,-73.9018,2020,Adults with asthma: Percent (%)
