GeoID,GeoType,TimePeriodID,Value,CI,Note,GeoTypeDesc,Geography,Lat,Long,TimePeriod,Indicator
501,NTA2010,282,296.9,,,Neighborhood Tabulation Area,Claremont-Bathgate,40.8427,-73.9003,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
503,NTA2010,282,158.4,,,Neighborhood Tabulation Area,Eastchester-Edenwald-Baychester,40.8809,-73.8366,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
505,NTA2010,282,162.5,,,Neighborhood Tabulation Area,Bedford Park-Fordham North,40.8677,-73.8902,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
506,NTA2010,282,203.6,,,Neighborhood Tabulation Area,Belmont,40.8578,-73.8859,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
507,NTA2010,282,125.9,,,Neighborhood Tabulation Area,Bronxdale,40.864,-73.8649,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
508,NTA2010,282,143.3,,,Neighborhood Tabulation Area,West Farms-Bronx River,40.8342,-73.8723,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
509,NTA2010,282,160.3,,,Neighborhood Tabulation Area,Soundview-Castle Hill-Clason Point-Harding Park,40.8181,-73.8562,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
510,NTA2010,282,58.3,,,Neighborhood Tabulation Area,Pelham Bay-Country Club-City Island,40.8466,-73.8065,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
513,NTA2010,282,69.6,,,Neighborhood Tabulation Area,Co-op City,40.874,-73.8283,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
514,NTA2010,282,209.2,,,Neighborhood Tabulation Area,East Concourse-Concourse Village,40.8305,-73.9158,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
517,NTA2010,282,283.1,,,Neighborhood Tabulation Area,East Tremont,40.845,-73.8855,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
522,NTA2010,282,29.5,,,Neighborhood Tabulation Area,North Riverdale-Fieldston-Riverdale,40.8995,-73.907,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
526,NTA2010,282,179.2,,,Neighborhood Tabulation Area,Highbridge,40.8378,-73.9262,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
527,NTA2010,282,228.6,,,Neighborhood Tabulation Area,Hunts Point,40.8121,-73.8855,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
528,NTA2010,282,90.2,,,Neighborhood Tabulation Area,Van Cortlandt Village,40.8765,-73.8956,2017-2019,"Asthma emergency department visits (adults), by NTA: Average annual rate (per 10,000)"
